optimizer,family,alpha_group,alpha_other,n,mean_bpb,mean_gain_vs_raw,gain_ci95_half,positive_seed_count,min_gain,max_gain
native,structured_grid,1.0,0.375,5,1.1006779620972407,0.0012922005307452356,0.00032334856074101574,5,0.0009918731797986524,0.0016793159080639164
native,structured_grid,1.0,0.5,5,1.1007202839102572,0.001249878717728814,0.00033041746753616024,5,0.0009451593279068415,0.0016397528352751767
native,structured_grid,1.0,0.625,5,1.100810142362884,0.0011600202651018243,0.00034692889376259717,5,0.0008535987444924231,0.0015800486437149708
native,structured_grid,1.0,0.75,5,1.100942633365626,0.00102752926235965,0.0003538252055604906,5,0.0007053196058666167,0.0014538952187173049
native,structured_grid,1.0,0.875,5,1.1011075004350124,0.000862662192973529,0.0003647404750706635,5,0.0005060508133862829,0.0012885070086110506
native,structured_grid,1.0,1.0,5,1.1013116081566026,0.0006585544713832991,0.0003755470781478686,5,0.00028072715378479884,0.0010859419585969032
pure_adamw,structured_grid,0.0,0.0,5,1.1459512975296733,0.0,0.0,0,0.0,0.0
pure_adamw,structured_grid,0.0,0.125,5,1.1458655348246427,8.576270503062311e-05,2.4765029642114786e-05,5,6.140854303393617e-05,0.00011390121169663203
pure_adamw,structured_grid,0.0,0.25,5,1.1457862593259196,0.000165038203753598,3.1284261414612295e-05,5,0.0001409770900206997,0.00020557935584974985
pure_adamw,structured_grid,0.0,0.375,5,1.1457703577306741,0.00018093979899900248,3.1013860647291935e-05,5,0.0001567823282300207,0.00021494546120970348
pure_adamw,structured_grid,0.0,0.5,5,1.1457560796065855,0.00019521792308756502,1.0814947518260747e-05,5,0.00018222871752571201,0.0002025706172570363
pure_adamw,structured_grid,0.0,0.625,5,1.1457970297965916,0.00015426773308151452,2.0313286115858924e-05,5,0.0001285425609738322,0.00016940954886002224
pure_adamw,structured_grid,0.0,0.75,5,1.1458530169854169,9.828054425629063e-05,2.4373089725039835e-05,5,7.799791523055433e-05,0.00012647902318807525
pure_adamw,structured_grid,0.0,0.875,5,1.1459539384577755,-2.6409281022043984e-06,4.3873107248889137e-05,2,-3.805694041902896e-05,4.996162521986314e-05
pure_adamw,structured_grid,0.0,1.0,5,1.1460890745694374,-0.00013777703976423084,5.615988711174579e-05,0,-0.0001955152368389168,-8.458403956890237e-05
pure_adamw,structured_grid,0.125,0.0,5,1.1456282175032446,0.0003230800264286682,5.040087748942368e-05,5,0.0002813990370404973,0.000383382920434272
pure_adamw,structured_grid,0.125,0.125,5,1.145545678613828,0.00040561891584527386,4.725379543630108e-05,5,0.00038215920301465367,0.0004729917596733024
