name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.2.attn.c_q.weight,2,attn_qkv,attn,589824,768x768,1,0.041945867240428925,0.19759703746863774,0.8248920489155224,0.15166904877107584,0.8366115000722232
transformer.h.2.attn.c_k.weight,2,attn_qkv,attn,589824,768x768,1,0.041769083589315414,0.19694548632417405,0.8250249928001773,0.15052800647973646,0.8372484931602204
transformer.h.2.attn.c_v.weight,2,attn_qkv,attn,589824,768x768,1,0.02707250788807869,0.1526376126067979,0.8493545727222941,0.08232672071021734,0.8835139260060384
transformer.h.2.attn.c_proj.weight,2,attn_out,attn,589824,768x768,1,0.03138110414147377,0.18646708130836487,0.8559496647783668,0.07640405052285258,0.8897728071277571
transformer.h.2.mlp.c_fc.weight,2,mlp_up,mlp,2359296,3072x768,0,0.1290847510099411,0.6623318535940987,0.8368940577453204,0.1306798684753918,0.8531070946349644
transformer.h.2.mlp.c_proj.weight,2,mlp_down,mlp,2359296,768x3072,0,0.1278272122144699,0.641816075359072,0.8339136918643553,0.12929736177398776,0.8523081650451838
transformer.h.3.attn.c_q.weight,3,attn_qkv,attn,589824,768x768,1,0.042382728308439255,0.20962536334991455,0.8318199704242143,0.15217245570426471,0.8398237573599747
transformer.h.3.attn.c_k.weight,3,attn_qkv,attn,589824,768x768,1,0.042731575667858124,0.20639267563819885,0.828472838578204,0.15513314689698657,0.8366698458406088
transformer.h.3.attn.c_v.weight,3,attn_qkv,attn,589824,768x768,1,0.029260549694299698,0.17033433062689646,0.8534002994104236,0.08609288217405242,0.8836537086181856
transformer.h.3.attn.c_proj.weight,3,attn_out,attn,589824,768x768,1,0.036380503326654434,0.19887804559298924,0.8453594843047307,0.11176446207519476,0.866797511114768
transformer.h.3.attn.ve_gate.weight,3,attn_aux,attn,72,6x12,0,6.146166469989112e-06,2.379142473988135e-05,0.7947007016395257,0.244842207991918,0.7749292468238038
transformer.h.3.mlp.c_fc.weight,3,mlp_up,mlp,2359296,3072x768,0,0.11944694072008133,0.6135960349014827,0.8370532906085083,0.13035369948858452,0.8533497955599618
transformer.h.3.mlp.c_proj.weight,3,mlp_down,mlp,2359296,768x3072,0,0.11708344519138336,0.5931434844221387,0.8351464295290864,0.1276219829916941,0.8537622232686961
transformer.h.4.attn.c_q.weight,4,attn_qkv,attn,589824,768x768,1,0.04210220277309418,0.20092496701649257,0.8267592763000683,0.1450035480528931,0.8408778641235877
transformer.h.4.attn.c_k.weight,4,attn_qkv,attn,589824,768x768,1,0.04188114404678345,0.19764327364308493,0.8251487491308283,0.15101106364187009,0.837068842744479
transformer.h.4.attn.c_v.weight,4,attn_qkv,attn,589824,768x768,1,0.02733791060745716,0.15648832278592245,0.8512839538579061,0.0722337314613551,0.8895251111982755
transformer.h.4.attn.c_proj.weight,4,attn_out,attn,589824,768x768,1,0.029415592551231384,0.182048465524401,0.8608955449974833,0.06042277068439561,0.9002363871565439
transformer.h.4.mlp.c_fc.weight,4,mlp_up,mlp,2359296,3072x768,0,0.1453157514333725,0.7230544601167951,0.8326569134908915,0.13728439506340426,0.8476862592137436
transformer.h.4.mlp.c_proj.weight,4,mlp_down,mlp,2359296,768x3072,0,0.14279375970363617,0.7018854362624032,0.8309491220032638,0.1381709228462461,0.8463890995785088
transformer.h.5.attn.c_q.weight,5,attn_qkv,attn,589824,768x768,1,0.0430736318230629,0.20432593992778234,0.8258944770266534,0.15261271380831212,0.8366408816091706
transformer.h.5.attn.c_k.weight,5,attn_qkv,attn,589824,768x768,1,0.04341936111450195,0.20488000554697855,0.8251330170580022,0.15008268987841708,0.8375251635897926
transformer.h.5.attn.c_v.weight,5,attn_qkv,attn,589824,768x768,1,0.02683946117758751,0.15667426266840526,0.8537468445678126,0.0721872498985297,0.8907797973346414
transformer.h.5.attn.c_proj.weight,5,attn_out,attn,589824,768x768,1,0.03428877145051956,0.1944960504770279,0.8501265461509581,0.09549023683493647,0.8773181546580108
transformer.h.5.attn.ve_gate.weight,5,attn_aux,attn,72,6x12,0,6.5638896558084525e-06,1.7133940933230667e-05,0.7230172765753323,0.15863819705991275,0.7821895397577098
transformer.h.5.mlp.c_fc.weight,5,mlp_up,mlp,2359296,3072x768,0,0.15123729407787323,0.7607737098421369,0.8341716345221446,0.1354009923104067,0.849385321105869
transformer.h.5.mlp.c_proj.weight,5,mlp_down,mlp,2359296,768x3072,0,0.15009960532188416,0.7365058405058724,0.8307030415522121,0.13802659817523022,0.8463382216884909
transformer.h.6.attn.c_q.weight,6,attn_qkv,attn,589824,768x768,1,0.04268253222107887,0.20177368819713593,0.8253980522645006,0.14606912115980486,0.8396644655523479
transformer.h.6.attn.c_k.weight,6,attn_qkv,attn,589824,768x768,1,0.04298669472336769,0.20019637048244476,0.8232331898317554,0.14460580923783425,0.8393136902969606
transformer.h.6.attn.c_v.weight,6,attn_qkv,attn,589824,768x768,1,0.026353532448410988,0.1583826999579157,0.8573450800358076,0.06728223215111793,0.8950314239423448
transformer.h.6.attn.c_proj.weight,6,attn_out,attn,589824,768x768,1,0.030307775363326073,0.18148341136319296,0.8568978443731854,0.07206934458574331,0.8924142498937211
transformer.h.6.mlp.c_fc.weight,6,mlp_up,mlp,2359296,3072x768,0,0.1433950513601303,0.7124582188470023,0.8324536969690775,0.13795326160433727,0.8472502176823701
transformer.h.6.mlp.c_proj.weight,6,mlp_down,mlp,2359296,768x3072,0,0.14113490283489227,0.6871127826826913,0.8295981923007788,0.13901832204335263,0.8452899351287131
