candidate_id,family,mean_gain_vs_raw,se_gain_vs_raw,lo95_gain_vs_raw,hi95_gain_vs_raw,mean_gain_vs_scalar,se_gain_vs_scalar,lo95_gain_vs_scalar,hi95_gain_vs_scalar
input_write_rest|input=0.650|rest=0.250|write=0.550,input_write_rest,0.0021843416731190403,8.430224667328844e-05,0.001984966859736713,0.0023837164865013675,0.00011410791007027696,2.148448571402406e-05,6.329710135661005e-05,0.0001649187187839439
square_rect_rest|rectangular=0.750|rest=0.250|square=0.450,square_rect_rest,0.0021787568464394415,8.492640193106203e-05,0.0019779059058724797,0.0023796077870064034,0.00010852308339067817,2.2754366723848275e-05,5.470900608877699e-05,0.00016233716069257933
functional4|attn_out=0.650|mlp_down=0.650|mlp_up=0.650|qkv=0.550|rest=0.250,functional4,0.002178418559876732,8.1786389895476e-05,0.0019849937477739313,0.0023718433719795325,0.00010818479682796851,1.7918890589860963e-05,6.580662058294732e-05,0.0001505629730729897
complement_split|embedding=0.300|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,0.0021782973434714557,8.736687980735501e-05,0.001971674672727061,0.0023849200142158503,0.00010806358042269237,2.3212106743530573e-05,5.316694797424256e-05,0.00016296021287114218
module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450,module_layer_scan,0.002177294302118507,8.422740443571536e-05,0.0019780964906280403,0.002376492113608974,0.00010706053906974367,2.1037970704124925e-05,5.730573835448822e-05,0.0001568153397849991
attn_mlp_rest|attn=0.550|mlp=0.750|rest=0.250,attn_mlp_rest,0.0021767105860194544,8.822693761739404e-05,0.0019680538785543174,0.0023853672934845914,0.00010647682297069104,2.630246743653046e-05,4.42714874832965e-05,0.0001686821584580856
functional4|attn_out=0.550|mlp_down=0.750|mlp_up=0.750|qkv=0.550|rest=0.250,functional4,0.0021767105860194544,8.822693761739404e-05,0.0019680538785543174,0.0023853672934845914,0.00010647682297069104,2.630246743653046e-05,4.42714874832965e-05,0.0001686821584580856
module_layer_scan|base=0.650|layer=9|module=attn|rest=0.250|target=0.450,module_layer_scan,0.002175604737778899,8.382461826751003e-05,0.0019773595155762377,0.0023738499599815603,0.00010537097473013561,1.9608712412899272e-05,5.899636987362883e-05,0.00015174557958664238
module_layer_scan|base=0.650|layer=10|module=attn|rest=0.250|target=0.450,module_layer_scan,0.002175064455033922,8.379639508386937e-05,0.001976885980660571,0.002373242929407273,0.00010483069198515861,1.9840319708678795e-05,5.7908335874133256e-05,0.00015175304809618396
input_write_rest|input=0.650|rest=0.250|write=0.450,input_write_rest,0.002174531396108759,7.54986842891019e-05,0.001995977007765033,0.002353085784452485,0.00010429763305999564,1.50036628032953e-05,6.881397053020225e-05,0.00013978129558978904
layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,layer_scan,0.002174378185231788,8.605277124671605e-05,0.0019708633812333047,0.0023778929892302714,0.00010414442218302468,2.122775788590276e-05,5.3940774782864644e-05,0.0001543480695831847
attn_mlp_rest|attn=0.450|mlp=0.750|rest=0.250,attn_mlp_rest,0.002173401114398751,8.286413907445132e-05,0.0019774274254876737,0.0023693748033098284,0.00010316735134998766,2.1446112036620864e-05,5.2447296383379313e-05,0.000153887406316596
adaptive_binary|high=0.650|low=0.550|rest=0.250,adaptive_binary,0.0021733432257496563,7.627317511900048e-05,0.00199295716659322,0.0023537292849060924,0.00010310946270089289,1.51642399688345e-05,6.724603517459929e-05,0.0001389728902271865
module_layer_scan|base=0.650|layer=8|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002172975713254406,8.495960687517838e-05,0.001972046242994609,0.0023739051835142025,0.00010274195020564241,2.136373351177684e-05,5.221672045029018e-05,0.00015326717996099463
layer_scan|base=0.650|layer=9|rest=0.250|target=0.450,layer_scan,0.0021726414484420503,8.471535103589121e-05,0.0019722896432421678,0.002372993253641933,0.00010240768539328694,1.985630282458535e-05,5.544752921314257e-05,0.0001493678415734313
hidden_rest|hidden=0.625|rest=0.250,hidden_rest,0.0021708575960667853,8.059541155609043e-05,0.0019802494477366315,0.002361465744396939,0.00010062383301802195,1.7952843104571275e-05,5.8165359075710886e-05,0.00014308230696033302
input_write_rest|input=0.750|rest=0.250|write=0.450,input_write_rest,0.002170030826281617,8.13070057291717e-05,0.001977739757732126,0.0023623218948311078,9.979706323285341e-05,2.0073879962560534e-05,5.2322337121397745e-05,0.00014727178934430908
adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,adaptive_affine,0.0021698533502901977,7.935413298731364e-05,0.001982180825775201,0.0023575258748051945,9.961958724143431e-05,1.745048460923145e-05,5.834919114060192e-05,0.0001408899833422667
module_layer_scan|base=0.650|layer=6|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002169190454139481,8.539902559119953e-05,0.001967221758616294,0.002371159149662668,9.895669109071751e-05,2.225656429768601e-05,4.631991652669009e-05,0.00015159346565474493
adaptive_affine|intercept=0.250|rest=0.250|slope=0.500,adaptive_affine,0.0021688963709975205,7.992741234894012e-05,0.001979868040792277,0.0023579247012027638,9.86626079487571e-05,1.656065208892691e-05,5.9496665758444956e-05,0.00013782855013906925
module_layer_scan|base=0.650|layer=5|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002168069092257579,8.5075812148908e-05,0.0019668647965254116,0.0023692733879897465,9.78353292088157e-05,2.0647040848138125e-05,4.900507760296903e-05,0.00014666558081466238
layer_scan|base=0.650|layer=10|rest=0.250|target=0.450,layer_scan,0.002166960839202476,8.447185819792249e-05,0.0019671848945643894,0.0023667367838405627,9.672707615371269e-05,2.070581777104697e-05,4.7757817125186596e-05,0.00014569633518223877
depth_half_rest|early=0.650|late=0.550|rest=0.250,depth_half_rest,0.0021667110777253843,8.136195875393778e-05,0.0019742900452723216,0.002359132110178447,9.647731467662089e-05,1.9305370346300304e-05,5.082011380762067e-05,0.00014213451554562112
adaptive_binary|high=0.650|low=0.450|rest=0.250,adaptive_binary,0.002166563814008565,7.11455189753712e-05,0.001998304661631812,0.0023348229663853175,9.633005095980142e-05,1.440695907176406e-05,6.225759275507942e-05,0.00013040250916452343
layer_scan|base=0.650|layer=5|rest=0.250|target=0.450,layer_scan,0.0021664871250600334,8.414467027022353e-05,0.0019674849798709546,0.0023654892702491123,9.625336201127006e-05,1.916240240884013e-05,5.093428031436314e-05,0.00014157244370817696
module_layer_scan|base=0.650|layer=7|module=attn|rest=0.250|target=0.450,module_layer_scan,0.002165491268540511,8.583636680918898e-05,0.001962488261036779,0.0023684942760442427,9.525750549174749e-05,2.0524162229818414e-05,4.671786181822693e-05,0.00014379714916526803
functional4|attn_out=0.650|mlp_down=0.450|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,0.0021652555571961716,8.201277794867575e-05,0.0019712953373475536,0.0023592157770447896,9.502179414740825e-05,1.8185195492901546e-05,5.201380680669608e-05,0.0001380297814881204
module_layer_scan|base=0.650|layer=8|module=attn|rest=0.250|target=0.450,module_layer_scan,0.0021652288507672387,8.699913564158889e-05,0.001959475894974881,0.0023709818065595963,9.499508771847534e-05,2.332055401056754e-05,3.98419774834831e-05,0.0001501481979534676
square_rect_rest|rectangular=0.750|rest=0.250|square=0.550,square_rect_rest,0.002165146125133774,8.995592649157488e-05,0.0019524003589811996,0.0023778918912863486,9.49123620850108e-05,2.695065411592783e-05,3.1174065100841476e-05,0.00015865065906918013
module_layer_scan|base=0.650|layer=9|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002165053994875677,8.507234283304865e-05,0.001963857904075517,0.0023662500856758374,9.48202318269138e-05,2.1899531635120243e-05,4.302783950985442e-05,0.00014661262414397317
module_layer_scan|base=0.650|layer=10|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.002165040365918399,8.397695634507076e-05,0.0019664348641623064,0.0023636458676744914,9.480660286963552e-05,1.9982596736845565e-05,4.7547761586995756e-05,0.0001420654441522753
module_layer_scan|base=0.650|layer=5|module=attn|rest=0.250|target=0.450,module_layer_scan,0.0021649692352438536,8.582515620109593e-05,0.0019619927408282617,0.0023679457296594455,9.473547219509019e-05,1.989589536359972e-05,4.7681679660176846e-05,0.00014178926473000354
module_layer_scan|base=0.650|layer=1|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.0021644336099040044,8.470750734486034e-05,0.0019641003550334097,0.002364766864774599,9.419984685524099e-05,1.9462182835714546e-05,4.817178444877608e-05,0.0001402279092617059
adaptive_binary|high=0.650|low=0.650|rest=0.250,adaptive_binary,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
attn_mlp_rest|attn=0.650|mlp=0.650|rest=0.250,attn_mlp_rest,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
depth_half_rest|early=0.650|late=0.650|rest=0.250,depth_half_rest,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,depth_thirds_rest,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
functional4|attn_out=0.650|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
input_write_rest|input=0.650|rest=0.250|write=0.650,input_write_rest,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
square_rect_rest|rectangular=0.650|rest=0.250|square=0.650,square_rect_rest,0.0021643889486209224,8.432688794585459e-05,0.0019649558586289765,0.0023638220386128683,9.415518557215905e-05,2.1465988694150058e-05,4.3388122310494156e-05,0.00014492224883382395
