optimizer,floor,alpha,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.15,0.9,5,0.0051413425024862125,0.00022239010416152404,0.004918952398324688,0.005363732606647737,5
native,0.15,0.95,5,0.004895970273383598,0.00025026128711129665,0.004645708986272302,0.005146231560494895,5
native,0.15,1.0,5,0.004614318164062414,0.00026791999590935654,0.004346398168153057,0.004882238159971771,5
pure_adamw,0.05,0.0,5,0.0,0.0,0.0,0.0,0
pure_adamw,0.05,0.05,5,7.987669652393947e-05,1.716970314592713e-05,6.270699337801234e-05,9.70463996698666e-05,5
pure_adamw,0.05,0.1,5,0.00013703090005661166,2.5247919722967186e-05,0.00011178298033364447,0.00016227881977957885,5
pure_adamw,0.05,0.15,5,0.000187308838795186,2.9987145955160863e-05,0.00015732169284002513,0.00021729598475034686,5
pure_adamw,0.05,0.2,5,0.0002207094383731345,3.5546795320782026e-05,0.00018516264305235247,0.00025625623369391655,5
pure_adamw,0.05,0.25,5,0.0002546069286021968,3.693978178622837e-05,0.00021766714681596846,0.00029154671038842517,5
pure_adamw,0.05,0.3,5,0.0002692621810599594,5.264446546168017e-05,0.0002166177155982792,0.00032190664652163956,5
pure_adamw,0.05,0.35,5,0.0002681438711438222,5.932239197097659e-05,0.00020882147917284562,0.00032746626311479883,5
pure_adamw,0.05,0.4,5,0.00025067100650693063,6.979408178847287e-05,0.00018087692471845774,0.0003204650882954035,5
pure_adamw,0.05,0.45,5,0.00022858598107187156,7.642376229584492e-05,0.00015216221877602666,0.00030500974336771647,5
pure_adamw,0.05,0.5,5,0.00019174611751697767,8.097335542907749e-05,0.00011077276208790018,0.00027271947294605514,5
pure_adamw,0.05,0.55,5,0.00015049837196792203,7.636065229558654e-05,7.413771967233549e-05,0.00022685902426350857,5
pure_adamw,0.05,0.6,5,8.857963991975027e-05,8.055730102029964e-05,8.02233889945063e-06,0.0001691369409400499,4
pure_adamw,0.05,0.65,5,9.95387858937491e-06,9.14589380293298e-05,-8.15050594399549e-05,0.00010141281661870472,3
pure_adamw,0.05,0.7,5,-7.401738312586836e-05,9.090699664156396e-05,-0.0001649243797674323,1.6889613515695597e-05,1
pure_adamw,0.05,0.75,5,-0.00016883939206189247,9.684074199292607e-05,-0.00026568013405481853,-7.19986500689664e-05,0
pure_adamw,0.05,0.8,5,-0.0002818103431191599,0.00010522502856735266,-0.00038703537168651255,-0.00017658531455180723,0
pure_adamw,0.05,0.85,5,-0.00039864505282376505,0.0001067492070322255,-0.0005053942598559905,-0.00029189584579153953,0
pure_adamw,0.05,0.9,5,-0.0005223282326398237,0.00012964762029397042,-0.0006519758529337941,-0.0003926806123458533,0
pure_adamw,0.05,0.95,5,-0.0006686662257551212,0.0001213998063085749,-0.0007900660320636962,-0.0005472664194465463,0
pure_adamw,0.05,1.0,5,-0.0008268400320886382,0.00012801191009091778,-0.000954851942179556,-0.0006988281219977204,0
pure_adamw,0.1,0.0,5,0.0,0.0,0.0,0.0,0
pure_adamw,0.1,0.05,5,0.00019753198405938476,3.436652055699506e-05,0.0001631654635023897,0.00023189850461637982,5
pure_adamw,0.1,0.1,5,0.0003503767303257188,3.247490314175987e-05,0.0003179018271839589,0.0003828516334674787,5
pure_adamw,0.1,0.15,5,0.0004902570560384678,3.49316041177724e-05,0.00045532545192069544,0.0005251886601562402,5
pure_adamw,0.1,0.2,5,0.0006151196458241692,4.5305833736910674e-05,0.0005698138120872585,0.0006604254795610799,5
pure_adamw,0.1,0.25,5,0.0007234107485767805,5.604998620326276e-05,0.0006673607623735177,0.0007794607347800433,5
pure_adamw,0.1,0.3,5,0.0008103522657358919,6.40305868339828e-05,0.0007463216789019092,0.0008743828525698747,5
pure_adamw,0.1,0.35,5,0.0008707843557591132,8.109197406376044e-05,0.0007896923816953528,0.0009518763298228737,5
pure_adamw,0.1,0.4,5,0.0009103975610469828,8.505026049491873e-05,0.0008253473005520641,0.0009954478215419016,5
pure_adamw,0.1,0.45,5,0.0009352356432579701,9.3454236165832e-05,0.0008417814070921381,0.0010286898794238022,5
pure_adamw,0.1,0.5,5,0.0009454182043205694,0.00011616143774293482,0.0008292567665776346,0.0010615796420635044,5
pure_adamw,0.1,0.55,5,0.0009321547571531141,0.0001111397879060594,0.0008210149692470547,0.0010432945450591735,5
pure_adamw,0.1,0.6,5,0.0009063305801061183,0.00011479273222374307,0.0007915378478823752,0.0010211233123298613,5
pure_adamw,0.1,0.65,5,0.0008571745356916072,0.00013021518779594762,0.0007269593478956597,0.0009873897234875548,5
pure_adamw,0.1,0.7,5,0.0007997928841176893,0.00014702851754214816,0.0006527643665755412,0.0009468214016598375,5
pure_adamw,0.1,0.75,5,0.000704923335558405,0.0001543740455213965,0.0005505492900370085,0.0008592973810798016,5
pure_adamw,0.1,0.8,5,0.0005982715822099749,0.000169177823352447,0.00042909375885752794,0.0007674494055624219,5
pure_adamw,0.1,0.85,5,0.00047947601464599644,0.0001820345913823261,0.00029744142326367033,0.0006615106060283225,5
pure_adamw,0.1,0.9,5,0.00033468537672995955,0.00020469903688816358,0.00012998633984179597,0.0005393844136181231,5
pure_adamw,0.1,0.95,5,0.00017676584356589585,0.00021190097488545798,-3.5135131319562126e-05,0.00038866681845135386,5
pure_adamw,0.1,1.0,5,1.406229614486776e-06,0.00021732963486657453,-0.00021592340525208775,0.00021873586448106132,2
pure_adamw,0.15,0.0,5,0.0,0.0,0.0,0.0,0
pure_adamw,0.15,0.05,5,0.0004064233424269315,6.123026942434818e-05,0.0003451930730025833,0.00046765361185127966,5
pure_adamw,0.15,0.1,5,0.0007780613907031775,7.723837004042417e-05,0.0007008230206627534,0.0008552997607436017,5
pure_adamw,0.15,0.15,5,0.0011108540629732656,9.480342849456578e-05,0.0010160506344786997,0.0012056574914678314,5
pure_adamw,0.15,0.2,5,0.0014165614024858274,0.00011983128587161682,0.0012967301166142105,0.0015363926883574443,5
pure_adamw,0.15,0.25,5,0.0016986182146886187,0.00014850313566303676,0.001550115079025582,0.0018471213503516554,5
pure_adamw,0.15,0.3,5,0.001939855420091785,0.00016697901012262985,0.0017728764099691552,0.002106834430214415,5
pure_adamw,0.15,0.35,5,0.002157467393949375,0.00019622054735200504,0.00196124684659737,0.00235368794130138,5
