floor,eval_kind,recipe,method,alpha,bpb,bpb_se,paired_delta_vs_raw,paired_se_vs_raw,mean_alpha_by_numel
0.125,floor_select,tsa:0.700,TSA alpha=0.70,0.7,1.0681131025931294,0.013110318008471799,-0.003629628311380759,0.0001723942834827239,
0.125,floor_select,tsa:0.750,TSA alpha=0.75,0.75,1.068220305853644,0.013109229031573895,-0.003522425050866333,0.0001841055352730719,
0.125,floor_select,tsa:0.800,TSA alpha=0.80,0.8,1.0683295225631217,0.013109124569970836,-0.0034132083413885954,0.00019482499125390566,
0.125,floor_select,tsa:0.900,TSA alpha=0.90,0.9,1.06874380210783,0.013106669817491645,-0.002998928796680631,0.00021576510968227745,
0.125,floor_select,tsa:1.000,Uniform LAWA,1.0,1.0693004644557398,0.013105678232534787,-0.0024422664487704134,0.00024346504286884067,
0.125,floor_select,ema:0.95:16:16,Checkpoint EMA,nan,1.068908810084478,0.013102661849784106,-0.0028339208200324293,0.00023225311283948548,
0.125,floor_select,swastyle:32:16,SWA-style late average,nan,1.0709888726123071,0.01311800634331827,-0.0007538582922034711,0.0003342424327198072,
0.125,floor_select,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5866579820201219,1.0682232133022218,0.013110321834558774,-0.003519517602288481,0.0001337295606505876,0.5866579820201219
0.125,holdout,raw,Raw iterate,0.0,1.0580652161857536,0.010748521711687595,,,
0.125,holdout,tsa:0.100,TSA alpha=0.10,0.1,1.0571405990676173,0.01075276303168482,-0.0009246171181362754,3.656047785943944e-05,
0.125,holdout,tsa:0.200,TSA alpha=0.20,0.2,1.0562107645537802,0.010751062985735478,-0.0018544516319735256,5.1810527796515084e-05,
0.125,holdout,tsa:0.300,TSA alpha=0.30,0.3,1.055419607787693,0.010747640397436649,-0.002645608398060474,6.933835224822234e-05,
0.125,holdout,tsa:0.400,TSA alpha=0.40,0.4,1.0548838433653693,0.010744739550786192,-0.003181372820384356,8.743957278958799e-05,
0.125,holdout,tsa:0.500,TSA alpha=0.50,0.5,1.0545560785911359,0.010743143847178706,-0.0035091375946177,0.00010848749288185852,
0.125,holdout,tsa:0.550,TSA alpha=0.55,0.55,1.054447949243473,0.010741982835610925,-0.0036172669422806143,0.00011906952415261815,
0.125,holdout,tsa:0.600,TSA alpha=0.60,0.6,1.0544060692901442,0.010742658133058667,-0.0036591468956093144,0.0001270762748003854,
0.125,holdout,tsa:0.650,TSA alpha=0.65,0.65,1.054406983094191,0.010742414002826316,-0.0036582330915628076,0.00013817541676636972,
0.125,holdout,tsa:0.700,TSA alpha=0.70,0.7,1.0544326626970104,0.010739754975817395,-0.0036325534887430623,0.00014999699186416578,
0.125,holdout,tsa:0.750,TSA alpha=0.75,0.75,1.0545158202254268,0.010739352855774351,-0.0035493959603267572,0.0001589298039252531,
0.125,holdout,tsa:0.800,TSA alpha=0.80,0.8,1.0546441660194457,0.010738452469005082,-0.003421050166307981,0.00016904078256068877,
0.125,holdout,tsa:0.900,TSA alpha=0.90,0.9,1.0550232299928004,0.010739373791132928,-0.0030419861929530515,0.0001875734826052791,
0.125,holdout,tsa:1.000,Uniform LAWA,1.0,1.0555913324641113,0.010738853694043426,-0.0024738837216425184,0.00020765211978100096,
0.125,holdout,ema:0.95:16:16,Checkpoint EMA,nan,1.0551508549375337,0.010742135143784434,-0.002914361248219876,0.00020392337206767697,
0.125,holdout,swastyle:32:16,SWA-style late average,nan,1.0573597489829032,0.010745376085194188,-0.0007054672028504958,0.0002399328406347971,
0.125,holdout,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5866579820201219,1.054574042038499,0.010743354767334382,-0.003491174147254583,0.00011607665817858808,0.5866579820201219
0.15,alpha_select,raw,Raw iterate,0.0,1.1047098339714956,0.011820977929220286,,,
0.15,alpha_select,tsa:0.100,TSA alpha=0.10,0.1,1.103206613996178,0.011826400772600533,-0.0015032199753174762,3.272617282078285e-05,
0.15,alpha_select,tsa:0.200,TSA alpha=0.20,0.2,1.1019543578904338,0.01182984836163309,-0.002755476081061893,5.976208090675139e-05,
0.15,alpha_select,tsa:0.300,TSA alpha=0.30,0.3,1.1009220564604172,0.011829877611049287,-0.0037877775110784946,8.485119487885878e-05,
0.15,alpha_select,tsa:0.400,TSA alpha=0.40,0.4,1.1001598791377316,0.011833843991565908,-0.004549954833764042,0.00011068187041230784,
0.15,alpha_select,tsa:0.500,TSA alpha=0.50,0.5,1.0996013090027739,0.011839859433732225,-0.005108524968721984,0.00013703384966212107,
0.15,alpha_select,tsa:0.550,TSA alpha=0.55,0.55,1.0994304940244572,0.01184282086496584,-0.0052793399470382855,0.0001500711773372983,
0.15,alpha_select,tsa:0.600,TSA alpha=0.60,0.6,1.0992819889136416,0.011844749268311085,-0.005427845057854102,0.00016087479006229286,
0.15,alpha_select,tsa:0.650,TSA alpha=0.65,0.65,1.0991860467864178,0.011847878617854597,-0.005523787185077971,0.00017456450933715854,
0.15,alpha_select,tsa:0.700,TSA alpha=0.70,0.7,1.0991604010544196,0.011852760605561154,-0.005549432917076179,0.0001894507666258985,
0.15,alpha_select,tsa:0.750,TSA alpha=0.75,0.75,1.099195794487377,0.011852187200903896,-0.005514039484118818,0.0002009513022487631,
