recipe,method,k,spacing,alpha,beta,bpb,eval_seconds,stream_seed,paired_delta_method_minus_raw,paired_se,mean_alpha_by_numel,seed,gain_vs_raw
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,0.14951754686909824,nan,1.0556871973827213,2.428553057136014,1103,-0.0019024035380207302,6.872947378649734e-05,0.14951754686909824,1103,0.001902403538020847
raw,Raw iterate,0,0,0.0,nan,1.0570177510619052,2.7046035199891776,2203,,,,2203,0.0
tsa:k4:s16:a0.550,TSA,4,16,0.55,nan,1.0557841495943963,2.483954231021926,2203,-0.0012336014675088242,6.351399014566336e-05,,2203,0.001233601467508949
lawa:k4:s16:a1.000,LAWA,4,16,1.0,nan,1.0558718964249698,2.563658594037406,2203,-0.0011458546369353232,0.00011139464696904397,,2203,0.001145854636935395
tsa:k4:s32:a0.550,TSA,4,32,0.55,nan,1.055272106239635,2.5987383100437,2203,-0.0017456448222701465,7.802983554673148e-05,,2203,0.0017456448222701315
lawa:k4:s32:a1.000,LAWA,4,32,1.0,nan,1.0556158721858198,2.4894761010073125,2203,-0.0014018788760853222,0.00013605185788664317,,2203,0.0014018788760854495
tsa:k4:s64:a0.550,TSA,4,64,0.55,nan,1.0552501705227497,2.4966920070000924,2203,-0.0017675805391554125,9.126345205445242e-05,,2203,0.0017675805391554889
lawa:k4:s64:a1.000,LAWA,4,64,1.0,nan,1.0563317627079807,2.5690992510062642,2203,-0.0006859883539243004,0.00016246581262263431,,2203,0.0006859883539245271
tsa:k8:s16:a0.550,TSA,8,16,0.55,nan,1.0552170414814355,2.4796204890008084,2203,-0.0018007095804696445,8.461204687579175e-05,,2203,0.0018007095804697393
lawa:k8:s16:a1.000,LAWA,8,16,1.0,nan,1.0558116968775932,2.5418835199670866,2203,-0.001206054184311926,0.0001524098775950615,,2203,0.0012060541843119665
tsa:k8:s32:a0.550,TSA,8,32,0.55,nan,1.0551391099819032,2.512248109036591,2203,-0.0018786410800019047,0.0001058117809196208,,2203,0.0018786410800020192
lawa:k8:s32:a1.000,LAWA,8,32,1.0,nan,1.0564458206013687,2.5930230370140634,2203,-0.0005719304605364869,0.00018318475359517997,,2203,0.0005719304605364961
tsa:k8:s64:a0.550,TSA,8,64,0.55,nan,1.0549128052407322,2.533587546029594,2203,-0.0021049458211729356,0.00012071785055560101,,2203,0.002104945821173043
lawa:k8:s64:a1.000,LAWA,8,64,1.0,nan,1.0576906818103344,2.5133936149650253,2203,0.000672930748429419,0.00020982516161697042,,2203,-0.0006729307484292235
tsa:k16:s16:a0.550,TSA,16,16,0.55,nan,1.0551138131704794,2.493713781994302,2203,-0.0019039378914256766,0.00010720841971053234,,2203,0.0019039378914258442
lawa:k16:s16:a1.000,LAWA,16,16,1.0,nan,1.0566174282252743,2.5370617280132137,2203,-0.0004003228366307396,0.00018756494426910833,,2203,0.0004003228366309397
tsa:k16:s32:a0.550,TSA,16,32,0.55,nan,1.054862714130776,2.5673397459904663,2203,-0.0021550369311291646,0.0001289373176893345,,2203,0.002155036931129173
lawa:k16:s32:a1.000,LAWA,16,32,1.0,nan,1.0579568717079013,2.5073205269873142,2203,0.0009391206459961979,0.00022899498401013254,,2203,-0.0009391206459961055
tsa:k16:s64:a0.550,TSA,16,64,0.55,nan,1.056065170936875,2.5000743810087442,2203,-0.0009525801250302052,0.00019511429271730257,,2203,0.0009525801250303001
lawa:k16:s64:a1.000,LAWA,16,64,1.0,nan,1.0627174577282485,2.5940365139977075,2203,0.005699706666343476,0.00032246387223318254,,2203,-0.0056997066663433404
