name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.1.mlp.c_fc.weight,1,mlp_up,mlp,2359296,3072x768,0,0.36621153354644775,1.2081858004842485,0.7673957357328022,0.3442457386720867,0.7115749985303577
transformer.h.1.mlp.c_proj.weight,1,mlp_down,mlp,2359296,768x3072,0,0.08141683042049408,0.2712361067533493,0.7691304343784355,0.337578586055915,0.7157759241612602
transformer.h.2.attn.c_q.weight,2,attn_qkv,attn,589824,768x768,1,0.07590606808662415,0.23881237634590693,0.7588127755794855,0.3495763475546607,0.7046182140124124
transformer.h.2.attn.c_k.weight,2,attn_qkv,attn,589824,768x768,1,0.07514683157205582,0.2373153886624745,0.7595010637905232,0.3485178226655247,0.7054916205624993
transformer.h.2.attn.c_v.weight,2,attn_qkv,attn,589824,768x768,1,0.0704876035451889,0.23270673198359354,0.7675167531667244,0.3350009258945048,0.7162579136361098
transformer.h.2.attn.c_proj.weight,2,attn_out,attn,589824,768x768,1,0.07055498659610748,0.23720464323248183,0.7707464535377692,0.33180392905027073,0.7194712622437491
transformer.h.2.mlp.c_fc.weight,2,mlp_up,mlp,2359296,3072x768,0,0.3695867955684662,1.2093933735574995,0.76593322525827,0.34677247694678076,0.7095803741557446
transformer.h.2.mlp.c_proj.weight,2,mlp_down,mlp,2359296,768x3072,0,0.07938574254512787,0.2616455320801054,0.7672185853559425,0.33915610401024515,0.7140312406728486
transformer.h.3.attn.c_q.weight,3,attn_qkv,attn,589824,768x768,1,0.07569509744644165,0.2397851369210652,0.7600638987789534,0.34819455882597944,0.705934669976487
transformer.h.3.attn.c_k.weight,3,attn_qkv,attn,589824,768x768,1,0.07577410340309143,0.240382154073034,0.760327048377926,0.34936943962541694,0.7054788043762545
transformer.h.3.attn.c_v.weight,3,attn_qkv,attn,589824,768x768,1,0.0713592916727066,0.2345397791692189,0.7667227576850609,0.3329857646040842,0.7168684965404883
transformer.h.3.attn.c_proj.weight,3,attn_out,attn,589824,768x768,1,0.07131550461053848,0.239167434828622,0.7703078154974989,0.3321445675117259,0.7190816239928866
transformer.h.3.attn.ve_gate.weight,3,attn_aux,attn,72,6x12,0,0.0003175043675582856,0.0018048032319971494,0.8503966307123462,0.17595005038289466,0.8372232901647257
transformer.h.3.mlp.c_fc.weight,3,mlp_up,mlp,2359296,3072x768,0,0.36650264263153076,1.2135709013257707,0.7680470987991969,0.3422655469462344,0.7128907759264813
transformer.h.3.mlp.c_proj.weight,3,mlp_down,mlp,2359296,768x3072,0,0.08260209113359451,0.2771793135574886,0.7704103378980394,0.3354536471443437,0.7174783453768478
transformer.h.4.attn.c_q.weight,4,attn_qkv,attn,589824,768x768,1,0.07638127356767654,0.2379665140594755,0.7570166656993547,0.3497270412802356,0.7036448122095595
transformer.h.4.attn.c_k.weight,4,attn_qkv,attn,589824,768x768,1,0.07621607184410095,0.23741755102361953,0.756990111113673,0.35019106329952826,0.7033995239070724
transformer.h.4.attn.c_v.weight,4,attn_qkv,attn,589824,768x768,1,0.07009269297122955,0.23413071462086268,0.7696012495356341,0.32914018677293305,0.7202305313813505
transformer.h.4.attn.c_proj.weight,4,attn_out,attn,589824,768x768,1,0.07027362287044525,0.2368386834859848,0.7711793978425381,0.3282481003730105,0.7214656487347638
transformer.h.4.mlp.c_fc.weight,4,mlp_up,mlp,2359296,3072x768,0,0.36591359972953796,1.2117404341697693,0.7680647392475832,0.3416560321103037,0.7132043535686398
transformer.h.4.mlp.c_proj.weight,4,mlp_down,mlp,2359296,768x3072,0,0.0839664563536644,0.27986221866948263,0.7692142975032894,0.33670707074497125,0.716253613379159
transformer.h.5.attn.c_q.weight,5,attn_qkv,attn,589824,768x768,1,0.07568869739770889,0.23956610262393951,0.7599126249861655,0.34629295750065286,0.7068098337427564
transformer.h.5.attn.c_k.weight,5,attn_qkv,attn,589824,768x768,1,0.0753956139087677,0.23917341019426072,0.7603209212230828,0.345458862797761,0.7074310292126609
transformer.h.5.attn.c_v.weight,5,attn_qkv,attn,589824,768x768,1,0.07021094858646393,0.23586579731532506,0.7706099874408866,0.32518959204385595,0.7227101976985153
transformer.h.5.attn.c_proj.weight,5,attn_out,attn,589824,768x768,1,0.07146058976650238,0.24069633654185704,0.7710747904535965,0.3309021795165101,0.7200863054685431
transformer.h.5.attn.ve_gate.weight,5,attn_aux,attn,72,6x12,0,0.00016487832181155682,0.0017459611408412457,0.9137141947117537,0.0221926251260572,0.9457607847928482
transformer.h.5.mlp.c_fc.weight,5,mlp_up,mlp,2359296,3072x768,0,0.3703503906726837,1.2264133776937212,0.7680618773986984,0.3401319835122305,0.7139649469432339
transformer.h.5.mlp.c_proj.weight,5,mlp_down,mlp,2359296,768x3072,0,0.0852874293923378,0.28458466274397715,0.7694137211063077,0.33705440904098466,0.7161796560326615
transformer.h.6.attn.c_q.weight,6,attn_qkv,attn,589824,768x768,1,0.0765000581741333,0.23857969045639038,0.7572041411527194,0.348924005166331,0.7041400679931942
transformer.h.6.attn.c_k.weight,6,attn_qkv,attn,589824,768x768,1,0.07637454569339752,0.23800398196492875,0.7570618252388944,0.3496977055863173,0.7036820598262885
transformer.h.6.attn.c_v.weight,6,attn_qkv,attn,589824,768x768,1,0.07090509682893753,0.23679709008761815,0.769565833966055,0.3276465426396782,0.7209596456631884
transformer.h.6.attn.c_proj.weight,6,attn_out,attn,589824,768x768,1,0.07114868611097336,0.239014493567603,0.7706088576190602,0.3299013780464421,0.720353739786309
transformer.h.6.mlp.c_fc.weight,6,mlp_up,mlp,2359296,3072x768,0,0.36969655752182007,1.2211834362574987,0.7676150564672303,0.33944978398303194,0.7140826362420991
transformer.h.6.mlp.c_proj.weight,6,mlp_down,mlp,2359296,768x3072,0,0.0854821428656578,0.28494839795998167,0.7692357042831034,0.33781017864520574,0.7157127628189488
transformer.h.7.attn.c_q.weight,7,attn_qkv,attn,589824,768x768,1,0.07666909694671631,0.23972006567886897,0.7576747056995551,0.35101425844438405,0.7033302236275856
transformer.h.7.attn.c_k.weight,7,attn_qkv,attn,589824,768x768,1,0.07632054388523102,0.24134396655218943,0.7597448207854932,0.349747273904285,0.704998773440604
transformer.h.7.attn.c_v.weight,7,attn_qkv,attn,589824,768x768,1,0.0741899162530899,0.24159450829029083,0.7650615087797084,0.3360337776493257,0.7145138655651914
transformer.h.7.attn.c_proj.weight,7,attn_out,attn,589824,768x768,1,0.07949256151914597,0.253042927810124,0.7609501419548215,0.3507133479687696,0.7051183969930259
transformer.h.7.attn.ve_gate.weight,7,attn_aux,attn,72,6x12,0,0.0005899387178942561,0.0015432900815669978,0.7234526750983087,0.20844719427414848,0.7575027404120801
transformer.h.7.mlp.c_fc.weight,7,mlp_up,mlp,2359296,3072x768,0,0.3815731108188629,1.2390492728778295,0.7645514990676099,0.3480728930143968,0.7082393030266065
transformer.h.7.mlp.c_proj.weight,7,mlp_down,mlp,2359296,768x3072,0,0.08798539638519287,0.28884205860751017,0.7665101222868789,0.3445269893985661,0.7109915664441564
transformer.h.8.attn.c_q.weight,8,attn_qkv,attn,589824,768x768,1,0.07829732447862625,0.24095129115240915,0.7547449835487566,0.3533967794950505,0.700674102026853
transformer.h.8.attn.c_k.weight,8,attn_qkv,attn,589824,768x768,1,0.07844007015228271,0.24028444503034865,0.7538938286333702,0.3543009842298672,0.6997964222017514
transformer.h.8.attn.c_v.weight,8,attn_qkv,attn,589824,768x768,1,0.07274748384952545,0.23852978221007756,0.7662936173578578,0.33512624272282215,0.7155836873175179
transformer.h.8.attn.c_proj.weight,8,attn_out,attn,589824,768x768,1,0.07294724881649017,0.23877006556306565,0.7659826854286715,0.33859451221640297,0.7136940866061343
transformer.h.8.mlp.c_fc.weight,8,mlp_up,mlp,2359296,3072x768,0,0.37905266880989075,1.2455434032848902,0.7666788223111152,0.3450995187866135,0.7107896517622508
transformer.h.8.mlp.c_proj.weight,8,mlp_down,mlp,2359296,768x3072,0,0.08771492540836334,0.290129759481975,0.7678545473417979,0.3428155301111975,0.7125195086153002
transformer.h.9.attn.c_q.weight,9,attn_qkv,attn,589824,768x768,1,0.07824103534221649,0.24224740266799927,0.7558693978853537,0.3535776654273382,0.7011458662290078
transformer.h.9.attn.c_k.weight,9,attn_qkv,attn,589824,768x768,1,0.07785438746213913,0.24153841819081986,0.7562425136565756,0.3533122749285102,0.7014651193640327
transformer.h.9.attn.c_v.weight,9,attn_qkv,attn,589824,768x768,1,0.0740690752863884,0.24185671763760702,0.7655491354445766,0.33897286995944365,0.7132881327425664
transformer.h.9.attn.c_proj.weight,9,attn_out,attn,589824,768x768,1,0.07710350304841995,0.24611019662448338,0.7614472928392275,0.350171533304795,0.7056378797672163
transformer.h.9.attn.ve_gate.weight,9,attn_aux,attn,72,6x12,0,0.00043599845957942307,0.001547025184014014,0.7801345127739626,0.21211074881177092,0.7840118819810958
transformer.h.9.mlp.c_fc.weight,9,mlp_up,mlp,2359296,3072x768,0,0.3818303942680359,1.2494220307895116,0.7659280756290274,0.3474433803662101,0.7092423476314087
transformer.h.9.mlp.c_proj.weight,9,mlp_down,mlp,2359296,768x3072,0,0.0879131406545639,0.2909803262778691,0.7679739865500473,0.3434053068475444,0.7122843398512515
transformer.h.10.attn.c_q.weight,10,attn_qkv,attn,589824,768x768,1,0.07808852940797806,0.24220835311072214,0.7561995334018934,0.3514508985964049,0.7023743174027443
transformer.h.10.attn.c_k.weight,10,attn_qkv,attn,589824,768x768,1,0.07812821865081787,0.24198445677757263,0.7559352545279163,0.35231118384793164,0.7018120353399924
transformer.h.10.attn.c_v.weight,10,attn_qkv,attn,589824,768x768,1,0.07296952605247498,0.23994611842291697,0.7668076769545685,0.3370435499956567,0.7148820634794559
transformer.h.10.attn.c_proj.weight,10,attn_out,attn,589824,768x768,1,0.07334241271018982,0.2385294714144298,0.7648315977054114,0.34226521794811404,0.7112831898786487
transformer.h.10.mlp.c_fc.weight,10,mlp_up,mlp,2359296,3072x768,0,0.3804003596305847,1.24974125623703,0.7666458202601476,0.34743149756857267,0.7096071613457875
transformer.h.10.mlp.c_proj.weight,10,mlp_down,mlp,2359296,768x3072,0,0.0881880670785904,0.2908063232898712,0.7673103631089283,0.345333941367572,0.7109882108706782
transformer.h.11.attn.c_q.weight,11,attn_qkv,attn,589824,768x768,1,0.0793774276971817,0.24366251272814615,0.7542798342747646,0.35446514560187686,0.6999073443364439
transformer.h.11.attn.c_k.weight,11,attn_qkv,attn,589824,768x768,1,0.07928403466939926,0.24341972385134017,0.754313259216955,0.354041491193573,0.700135884011691
transformer.h.11.attn.c_v.weight,11,attn_qkv,attn,589824,768x768,1,0.0771743655204773,0.24511862014021193,0.7605459350526275,0.3459924512641183,0.7072767418942545
transformer.h.11.attn.c_proj.weight,11,attn_out,attn,589824,768x768,1,0.08051731437444687,0.25113815920693533,0.75722603488198,0.35383249751659956,0.7016967686826903
transformer.h.11.attn.ve_gate.weight,11,attn_aux,attn,72,6x12,0,0.0006943244952708483,0.0014142436973218406,0.6707128099010594,0.33736928462359567,0.666671762638732
transformer.h.11.mlp.c_fc.weight,11,mlp_up,mlp,2359296,3072x768,0,0.3814416229724884,1.2452170423098974,0.7655060455438139,0.35057020338865635,0.7074679210775787
transformer.h.11.mlp.c_proj.weight,11,mlp_down,mlp,2359296,768x3072,0,0.08806734532117844,0.28790923740182606,0.7657637486798989,0.34700713220775076,0.7093783082360741
