stream_seed,recipe,bpb,gain_vs_raw
2203,lawa:k8:s32:a1.000,1.0564458206013687,0.0005719304605364961
2203,tsa:k8:s64:a0.550,1.0549128052407322,0.002104945821173043
2203,lawa:k8:s64:a1.000,1.0576906818103344,-0.0006729307484292235
2203,tsa:k16:s16:a0.550,1.0551138131704794,0.0019039378914258442
2203,lawa:k16:s16:a1.000,1.0566174282252743,0.0004003228366309397
2203,tsa:k16:s32:a0.550,1.054862714130776,0.002155036931129173
2203,lawa:k16:s32:a1.000,1.0579568717079013,-0.0009391206459961055
2203,tsa:k16:s64:a0.550,1.056065170936875,0.0009525801250303001
2203,lawa:k16:s64:a1.000,1.0627174577282485,-0.0056997066663433404
2203,ewa:beta0.50:k8:s32,1.055170497275199,0.0018472537867062488
2203,ewa:beta0.75:k8:s32,1.055170864883917,0.0018468861779881163
2203,ewa:beta0.90:k8:s32,1.0558035926416,0.0012141584203051448
2203,ewa:beta0.95:k8:s32,1.0561068106217273,0.0009109404401779209
2203,ema:0.95:16:16,1.0559960425257444,0.0010217085361607925
2203,swastyle:32:16,1.058121107339911,-0.0011033562780058404
2203,adaptive:hybrid:8:32:1.0:all,1.0551540254925078,0.0018637255693974009
2203,adaptive:hybrid:8:32:1.0:muon,1.0550790981665659,0.0019386528953393434
3303,raw,1.0566023893497798,0.0
3303,tsa:k4:s16:a0.550,1.0553690313196495,0.0012333580301302494
3303,lawa:k4:s16:a1.000,1.055557860439034,0.00104452891074569
3303,tsa:k4:s32:a0.550,1.0548668156860377,0.001735573663742107
3303,lawa:k4:s32:a1.000,1.0552781329300374,0.0013242564197424311
3303,tsa:k4:s64:a0.550,1.0547397501999562,0.0018626391498235417
3303,lawa:k4:s64:a1.000,1.0558556355374702,0.0007467538123095974
3303,tsa:k8:s16:a0.550,1.0547730643703932,0.0018293249793865929
3303,lawa:k8:s16:a1.000,1.0554428705042214,0.001159518845558427
3303,tsa:k8:s32:a0.550,1.0546026081242859,0.001999781225493935
3303,lawa:k8:s32:a1.000,1.0560892430538213,0.0005131462959584443
3303,tsa:k8:s64:a0.550,1.0543849803122465,0.0022174090375333133
3303,lawa:k8:s64:a1.000,1.0572505785089936,-0.00064818915921383
3303,tsa:k16:s16:a0.550,1.0545512345793477,0.002051154770432051
3303,lawa:k16:s16:a1.000,1.0562628389821753,0.00033955036760446866
3303,tsa:k16:s32:a0.550,1.054373432318983,0.00222895703079673
3303,lawa:k16:s32:a1.000,1.0574779865728479,-0.0008755972230680698
3303,tsa:k16:s64:a0.550,1.0556474781857526,0.000954911164027239
3303,lawa:k16:s64:a1.000,1.0623949224527556,-0.005792533102975783
3303,ewa:beta0.50:k8:s32,1.054831316018455,0.0017710733313247573
3303,ewa:beta0.75:k8:s32,1.0548242842551634,0.0017781050946164
3303,ewa:beta0.90:k8:s32,1.055441145323043,0.0011612440267367852
3303,ewa:beta0.95:k8:s32,1.0557464191738024,0.000855970175977383
3303,ema:0.95:16:16,1.055646394559461,0.000955994790318826
3303,swastyle:32:16,1.0576373063157007,-0.0010349169659209512
3303,adaptive:hybrid:8:32:1.0:all,1.0546860714493658,0.0019163179004140218
3303,adaptive:hybrid:8:32:1.0:muon,1.0547969524575194,0.0018054368922604258
4403,raw,1.0569807437840526,0.0
4403,tsa:k4:s16:a0.550,1.0556501506263398,0.0013305931577127783
4403,lawa:k4:s16:a1.000,1.055736237080219,0.001244506703833581
4403,tsa:k4:s32:a0.550,1.0550755054217376,0.0019052383623150426
4403,lawa:k4:s32:a1.000,1.0553421992935583,0.0016385444904942759
4403,tsa:k4:s64:a0.550,1.0549116484112742,0.00206909537277844
4403,lawa:k4:s64:a1.000,1.0558567108433599,0.001124032940692743
4403,tsa:k8:s16:a0.550,1.054968555110885,0.0020121886731676586
4403,lawa:k8:s16:a1.000,1.055501380771685,0.0014793630123675072
4403,tsa:k8:s32:a0.550,1.0546935820417938,0.0022871617422588475
4403,lawa:k8:s32:a1.000,1.0559867916584609,0.0009939521255917239
4403,tsa:k8:s64:a0.550,1.0545364419687695,0.002444301815283101
4403,lawa:k8:s64:a1.000,1.057181228580377,-0.00020048479632439609
