optimizer,floor,recipe,method,n,mean_bpb,bpb_sd,bpb_ci95_half,min_bpb,max_bpb
native,0.15,scalar_dev_selected,Development-selected scalar TSA,5,1.0546302993928562,0.00048456478374220735,0.0006015701907114736,1.0539065791471962,1.0552585826541405
native,0.15,scalar_fixed_050,Scalar TSA (alpha=0.50),5,1.054821413150842,0.0004804736533140853,0.0005964911957154603,1.0541109358380627,1.0554508233521587
native,0.15,scalar_fixed_055,Scalar TSA (alpha=0.55),5,1.0546302993928562,0.00048456478374220735,0.0006015701907114736,1.0539065791471962,1.0552585826541405
native,0.15,structured_dev_selected,Development-selected structured TSA,5,1.0545731967524021,0.00047886233974102723,0.0005944908064053775,1.0538178995471152,1.055137234853835
pure_adamw,0.05,group_only_dev_selected,Group-A-only shrinkage,5,1.0981783500147704,0.0023356867596070014,0.0028996732254619683,1.0948180052593337,1.1004909306209283
pure_adamw,0.05,lawa,Uniform LAWA,5,1.0992601635627637,0.002310688265508669,0.0028686384714583964,1.0959051263568726,1.1014504291835976
pure_adamw,0.05,native_structured_rule_transfer,Native-developed structured rule transferred to AdamW,5,1.09819053060992,0.0023372595270823387,0.0029016257611431144,1.0948195688503661,1.1004724714148126
pure_adamw,0.05,other_only_dev_selected,Group-B-only shrinkage,5,1.0984091448868594,0.002358486066754609,0.0029279777659672736,1.095047692931679,1.1007296305829766
pure_adamw,0.05,raw,Raw endpoint,5,1.0984333235306751,0.00236880519801389,0.0029407886056483615,1.095066587623906,1.1007818228612434
pure_adamw,0.05,scalar_dev_selected,Development-selected scalar TSA,5,1.0982415774131582,0.002329776424823519,0.002892335752038064,1.0948910650032253,1.1004934717278214
pure_adamw,0.05,scalar_fixed_050,Scalar TSA (alpha=0.50),5,1.0982415774131582,0.002329776424823519,0.002892335752038064,1.0948910650032253,1.1004934717278214
pure_adamw,0.05,scalar_fixed_055,Scalar TSA (alpha=0.55),5,1.0982828251587073,0.002330734320115097,0.0028935249454598105,1.0949265470902318,1.1005467835279394
pure_adamw,0.05,structured_dev_selected,Development-selected structured TSA,5,1.09819053060992,0.0023372595270823387,0.0029016257611431144,1.0948195688503661,1.1004724714148126
pure_adamw,0.1,group_only_dev_selected,Group-A-only shrinkage,5,1.0986689734295125,0.003846892050091815,0.004775781612415619,1.0941182950858845,1.102590721631411
pure_adamw,0.1,lawa,Uniform LAWA,5,1.0995564530278468,0.003804098859791849,0.004722655366940053,1.0951355974091161,1.1035600296331447
pure_adamw,0.1,native_structured_rule_transfer,Native-developed structured rule transferred to AdamW,5,1.0985660822355237,0.003850984675268529,0.004780862463089604,1.0940132925354473,1.1025090034604965
pure_adamw,0.1,other_only_dev_selected,Group-B-only shrinkage,5,1.099369965971052,0.0038754975965014957,0.004811294395404472,1.0947590766140765,1.1032601099574804
pure_adamw,0.1,raw,Raw endpoint,5,1.0995578592574613,0.003868895387448443,0.004803097984331242,1.0949699487305946,1.1034145336390961
pure_adamw,0.1,scalar_dev_selected,Development-selected scalar TSA,5,1.098612441053141,0.0038484717182754183,0.004777742715084146,1.0940614488898877,1.1025705092066553
pure_adamw,0.1,scalar_fixed_050,Scalar TSA (alpha=0.50),5,1.098612441053141,0.0038484717182754183,0.004777742715084146,1.0940614488898877,1.1025705092066553
pure_adamw,0.1,scalar_fixed_055,Scalar TSA (alpha=0.55),5,1.0986257045003083,0.0038446100298206247,0.004772948564254038,1.0940717752739781,1.102576533571966
pure_adamw,0.1,structured_dev_selected,Development-selected structured TSA,5,1.0985660822355237,0.003850984675268529,0.004780862463089604,1.0940132925354473,1.1025090034604965
pure_adamw,0.15,group_only_dev_selected,Group-A-only shrinkage,5,1.0996663705454037,0.004256009325058614,0.005283686366088494,1.0954484099016009,1.106038590987027
pure_adamw,0.15,lawa,Uniform LAWA,5,1.0997692224972466,0.00423080074227847,0.005252390794351929,1.0956387524518714,1.1061852894664437
pure_adamw,0.15,native_structured_rule_transfer,Native-developed structured rule transferred to AdamW,5,1.0992775289556116,0.004229429302197351,0.00525068819957239,1.0950884656700992,1.1056388647790687
pure_adamw,0.15,other_only_dev_selected,Group-B-only shrinkage,5,1.1013420295166756,0.004305552913151856,0.005345192993762944,1.0971413504611907,1.1078772484838153
pure_adamw,0.15,raw,Raw endpoint,5,1.1018746907834158,0.004338346316367945,0.005385904854155332,1.0976481572949826,1.1084316559141947
pure_adamw,0.15,scalar_dev_selected,Development-selected scalar TSA,5,1.0992657221575157,0.004239805059240176,0.00526356933817851,1.095092214690383,1.105667459336025
pure_adamw,0.15,scalar_fixed_050,Scalar TSA (alpha=0.50),5,1.0992657221575157,0.004239805059240176,0.00526356933817851,1.095092214690383,1.105667459336025
pure_adamw,0.15,scalar_fixed_055,Scalar TSA (alpha=0.55),5,1.0991877591436194,0.004238492037740193,0.00526193926801936,1.0950141008376277,1.1055870283675824
pure_adamw,0.15,structured_dev_selected,Development-selected structured TSA,5,1.0992775289556116,0.004229429302197351,0.00525068819957239,1.0950884656700992,1.1056388647790687
