optimizer,floor,eval_kind,alpha_group,alpha_other,n,mean_gain_vs_raw,gain_ci95_half,positive_seed_count
native,0.05,structured_grid_diagnostic,0.875,0.5,5,0.00014270901526822755,0.00013485006382982538,5
native,0.05,structured_grid_diagnostic,0.875,0.625,5,8.833352852946063e-05,0.00015033094211119646,3
native,0.05,structured_grid_diagnostic,0.875,0.75,5,-1.8295087028707967e-05,0.000160403245764927,2
native,0.05,structured_grid_diagnostic,0.875,0.875,5,-0.00014730203539516928,0.00015878177744610406,1
native,0.05,structured_grid_diagnostic,0.875,1.0,5,-0.0003080130433817274,0.0001624488959957816,0
native,0.05,structured_grid_diagnostic,1.0,0.0,5,-0.0002817921585120065,0.00021340745231142758,0
native,0.05,structured_grid_diagnostic,1.0,0.125,5,-0.00021669415866658602,0.00016531489209314348,0
native,0.05,structured_grid_diagnostic,1.0,0.25,5,-0.0002146738372369672,0.00015463359324408571,0
native,0.05,structured_grid_diagnostic,1.0,0.375,5,-0.00023237094301538087,0.00015459417441798798,0
native,0.05,structured_grid_diagnostic,1.0,0.5,5,-0.00028565760614864823,0.00015201362310899067,0
native,0.05,structured_grid_diagnostic,1.0,0.625,5,-0.0003330082907228693,0.0001711054123608631,0
native,0.05,structured_grid_diagnostic,1.0,0.75,5,-0.00043407669803312564,0.00017289028895828236,0
native,0.05,structured_grid_diagnostic,1.0,0.875,5,-0.0005684799652161399,0.0001708893520965688,0
native,0.05,structured_grid_diagnostic,1.0,1.0,5,-0.0007335265331806174,0.00017171408231971222,0
native,0.1,scalar_grid_diagnostic,0.0,0.0,5,0.0,0.0,0
native,0.1,scalar_grid_diagnostic,0.05,0.05,5,0.0003714475444037024,5.340168389490666e-06,5
native,0.1,scalar_grid_diagnostic,0.1,0.1,5,0.0007100165144026782,4.20711305747204e-05,5
native,0.1,scalar_grid_diagnostic,0.15,0.15,5,0.001012129619813562,5.913702786384611e-05,5
native,0.1,scalar_grid_diagnostic,0.2,0.2,5,0.0012699776940915618,4.936380124313179e-05,5
native,0.1,scalar_grid_diagnostic,0.25,0.25,5,0.0014986575151648917,7.568266966083855e-05,5
native,0.1,scalar_grid_diagnostic,0.3,0.3,5,0.001694748087768616,8.10139335815721e-05,5
native,0.1,scalar_grid_diagnostic,0.35,0.35,5,0.0018477615181346607,0.00010795545233949796,5
native,0.1,scalar_grid_diagnostic,0.4,0.4,5,0.0019776615123560325,0.00010118123556200571,5
native,0.1,scalar_grid_diagnostic,0.45,0.45,5,0.0020577365770019897,0.00013311074207086242,5
native,0.1,scalar_grid_diagnostic,0.5,0.5,5,0.002102393385783552,0.00013616080802115384,5
native,0.1,scalar_grid_diagnostic,0.55,0.55,5,0.0021129689033588138,0.00015384029539593704,5
native,0.1,scalar_grid_diagnostic,0.6,0.6,5,0.002088487019717489,0.0001708012728526619,5
native,0.1,scalar_grid_diagnostic,0.65,0.65,5,0.0020341875105965635,0.0001824060432955303,5
native,0.1,scalar_grid_diagnostic,0.7,0.7,5,0.0019403905479372873,0.0001856014314850022,5
native,0.1,scalar_grid_diagnostic,0.75,0.75,5,0.0018185257869525629,0.00020975547284367768,5
native,0.1,scalar_grid_diagnostic,0.8,0.8,5,0.0016562186170093085,0.00020881812685769565,5
native,0.1,scalar_grid_diagnostic,0.85,0.85,5,0.001456831905537337,0.00022858781495434932,5
native,0.1,scalar_grid_diagnostic,0.9,0.9,5,0.001241148360425548,0.0002573741472668669,5
native,0.1,scalar_grid_diagnostic,0.95,0.95,5,0.0009803619081133253,0.0002624976443239141,5
native,0.1,scalar_grid_diagnostic,1.0,1.0,5,0.0006910549916643749,0.0002779279688729375,5
native,0.1,structured_grid_diagnostic,0.0,0.0,5,0.0,0.0,0
native,0.1,structured_grid_diagnostic,0.0,0.125,5,0.0001076540016384353,3.2995698099552935e-05,5
native,0.1,structured_grid_diagnostic,0.0,0.25,5,0.0001856187651912311,4.860996926673959e-05,5
native,0.1,structured_grid_diagnostic,0.0,0.375,5,0.0002241812871940585,6.841110603509442e-05,5
native,0.1,structured_grid_diagnostic,0.0,0.5,5,0.00022455511812724538,8.628133037375569e-05,5
native,0.1,structured_grid_diagnostic,0.0,0.625,5,0.00018221802716489321,0.00010768341548203707,5
native,0.1,structured_grid_diagnostic,0.0,0.75,5,0.00010914240241231,0.00013502904740148714,5
native,0.1,structured_grid_diagnostic,0.0,0.875,5,-6.367041848731603e-06,0.00017405167409201982,1
native,0.1,structured_grid_diagnostic,0.0,1.0,5,-0.00015584214897348402,0.00020246963808369137,1
native,0.1,structured_grid_diagnostic,0.125,0.0,5,0.0007585817479933254,2.0424275612082073e-05,5
native,0.1,structured_grid_diagnostic,0.125,0.125,5,0.0008718008456229498,4.7486429295988e-05,5
native,0.1,structured_grid_diagnostic,0.125,0.25,5,0.0009433257527139194,6.318575368335554e-05,5
native,0.1,structured_grid_diagnostic,0.125,0.375,5,0.0009666512535225546,7.100420451075956e-05,5
native,0.1,structured_grid_diagnostic,0.125,0.5,5,0.0009659882299782651,9.676556777092214e-05,5
native,0.1,structured_grid_diagnostic,0.125,0.625,5,0.0009151583940389951,0.00012067509188696874,5
native,0.1,structured_grid_diagnostic,0.125,0.75,5,0.0008441468053269841,0.00013701657145461172,5
native,0.1,structured_grid_diagnostic,0.125,0.875,5,0.0007094127881355217,0.00017566663134542336,5
native,0.1,structured_grid_diagnostic,0.125,1.0,5,0.000549414990107211,0.00020155414338706806,5
native,0.1,structured_grid_diagnostic,0.25,0.0,5,0.001337926171348025,3.629297303368357e-05,5
native,0.1,structured_grid_diagnostic,0.25,0.125,5,0.0014340602414542492,5.5530382332673786e-05,5
native,0.1,structured_grid_diagnostic,0.25,0.25,5,0.0014986575151648917,7.568266966083855e-05,5
native,0.1,structured_grid_diagnostic,0.25,0.375,5,0.001523524643174712,8.742456779740108e-05,5
native,0.1,structured_grid_diagnostic,0.25,0.5,5,0.0015173653961354284,9.440774863586559e-05,5
native,0.1,structured_grid_diagnostic,0.25,0.625,5,0.0014547504646201137,0.00010503938696817468,5
native,0.1,structured_grid_diagnostic,0.25,0.75,5,0.001367741499328412,0.00013951064275812065,5
native,0.1,structured_grid_diagnostic,0.25,0.875,5,0.001239277475650269,0.00017545053963013757,5
native,0.1,structured_grid_diagnostic,0.25,1.0,5,0.0010818750177376657,0.00019105414100306707,5
native,0.1,structured_grid_diagnostic,0.375,0.0,5,0.001744915635840627,7.443290896105162e-05,5
native,0.1,structured_grid_diagnostic,0.375,0.125,5,0.00182719939766689,8.693287507141138e-05,5
native,0.1,structured_grid_diagnostic,0.375,0.25,5,0.0019017141531595615,8.770563743918988e-05,5
native,0.1,structured_grid_diagnostic,0.375,0.375,5,0.0019195467017049327,0.00010734223352347503,5
