optimizer,floor,stream_seed,left_recipe,right_recipe,contrast
pure_adamw,0.1,11103,scalar_dev_selected,structured_dev_selected,2.4086052975658134e-05
pure_adamw,0.1,12203,scalar_dev_selected,structured_dev_selected,6.150574615881865e-05
pure_adamw,0.1,13303,scalar_dev_selected,structured_dev_selected,4.815635444033184e-05
pure_adamw,0.1,14403,scalar_dev_selected,structured_dev_selected,4.950825697402905e-05
pure_adamw,0.1,15503,scalar_dev_selected,structured_dev_selected,4.8537677536542034e-05
pure_adamw,0.1,11103,raw,group_only_dev_selected,0.0009499623455140327
pure_adamw,0.1,12203,raw,group_only_dev_selected,0.0008238120076851096
pure_adamw,0.1,13303,raw,group_only_dev_selected,0.0008516536447100709
pure_adamw,0.1,14403,raw,group_only_dev_selected,0.0009971367113137397
pure_adamw,0.1,15503,raw,group_only_dev_selected,0.0008218644305206801
pure_adamw,0.1,11103,raw,other_only_dev_selected,0.000204940649765728
pure_adamw,0.1,12203,raw,other_only_dev_selected,0.00015442368161577846
pure_adamw,0.1,13303,raw,other_only_dev_selected,0.00021087211651815707
pure_adamw,0.1,14403,raw,other_only_dev_selected,0.00020403575433891596
pure_adamw,0.1,15503,raw,other_only_dev_selected,0.0001651942298079856
pure_adamw,0.1,11103,structured_dev_selected,lawa,0.0008869840762577574
pure_adamw,0.1,12203,structured_dev_selected,lawa,0.001051026172648184
pure_adamw,0.1,13303,structured_dev_selected,lawa,0.0011223048736688224
pure_adamw,0.1,14403,structured_dev_selected,lawa,0.0009004523569458023
pure_adamw,0.1,15503,structured_dev_selected,lawa,0.000991086482095227
pure_adamw,0.15,11103,raw,scalar_dev_selected,0.002773279436795395
pure_adamw,0.15,12203,raw,scalar_dev_selected,0.0025559426045995703
pure_adamw,0.15,13303,raw,scalar_dev_selected,0.002764196578169731
pure_adamw,0.15,14403,raw,scalar_dev_selected,0.002652383710394224
pure_adamw,0.15,15503,raw,scalar_dev_selected,0.002299040799540686
pure_adamw,0.15,11103,raw,structured_dev_selected,0.0027227095229365172
pure_adamw,0.15,12203,raw,structured_dev_selected,0.0025596916248833423
pure_adamw,0.15,13303,raw,structured_dev_selected,0.0027927911351259826
pure_adamw,0.15,14403,raw,structured_dev_selected,0.0026247729929615993
pure_adamw,0.15,15503,raw,structured_dev_selected,0.002285843863113035
pure_adamw,0.15,11103,scalar_dev_selected,structured_dev_selected,-5.056991385887777e-05
pure_adamw,0.15,12203,scalar_dev_selected,structured_dev_selected,3.7490202837719977e-06
pure_adamw,0.15,13303,scalar_dev_selected,structured_dev_selected,2.8594556956251793e-05
pure_adamw,0.15,14403,scalar_dev_selected,structured_dev_selected,-2.7610717432624554e-05
pure_adamw,0.15,15503,scalar_dev_selected,structured_dev_selected,-1.319693642765074e-05
pure_adamw,0.15,11103,raw,group_only_dev_selected,0.0022478969610246757
pure_adamw,0.15,12203,raw,group_only_dev_selected,0.0021997473933816902
pure_adamw,0.15,13303,raw,group_only_dev_selected,0.0023930649271677318
pure_adamw,0.15,14403,raw,group_only_dev_selected,0.0022568364218180648
pure_adamw,0.15,15503,raw,group_only_dev_selected,0.0019440554866678728
pure_adamw,0.15,11103,raw,other_only_dev_selected,0.0006248978295091412
pure_adamw,0.15,12203,raw,other_only_dev_selected,0.0005068068337918952
pure_adamw,0.15,13303,raw,other_only_dev_selected,0.0005544074303793778
pure_adamw,0.15,14403,raw,other_only_dev_selected,0.0005079421540856721
pure_adamw,0.15,15503,raw,other_only_dev_selected,0.0004692520859344018
pure_adamw,0.15,11103,structured_dev_selected,lawa,0.00032706655350644986
pure_adamw,0.15,12203,structured_dev_selected,lawa,0.000550286781772158
pure_adamw,0.15,13303,structured_dev_selected,lawa,0.0005464246873749801
pure_adamw,0.15,14403,structured_dev_selected,lawa,0.000396234274053775
pure_adamw,0.15,15503,structured_dev_selected,lawa,0.0006384554114680085
