name,shape,numel,layer,role,module,hidden,tsa_bucket,schedule_bucket,alpha,mapped_floor
transformer.h.8.mlp.c_proj.weight,768x3072,2359296,8,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.attn.c_q.weight,768x768,589824,9,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.attn.c_k.weight,768x768,589824,9,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.attn.c_v.weight,768x768,589824,9,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.attn.c_proj.weight,768x768,589824,9,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.attn.ve_gate.weight,6x12,72,9,attn_aux,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.mlp.c_fc.weight,3072x768,2359296,9,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.9.mlp.c_proj.weight,768x3072,2359296,9,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.10.attn.c_q.weight,768x768,589824,10,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.10.attn.c_k.weight,768x768,589824,10,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.10.attn.c_v.weight,768x768,589824,10,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.10.attn.c_proj.weight,768x768,589824,10,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.10.mlp.c_fc.weight,3072x768,2359296,10,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.10.mlp.c_proj.weight,768x3072,2359296,10,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.attn.c_q.weight,768x768,589824,11,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.attn.c_k.weight,768x768,589824,11,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.attn.c_v.weight,768x768,589824,11,attn_qkv,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.attn.c_proj.weight,768x768,589824,11,attn_out,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.attn.ve_gate.weight,6x12,72,11,attn_aux,attn,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.mlp.c_fc.weight,3072x768,2359296,11,mlp_up,mlp,1,hidden,hidden,0.65,0.15000000000000002
transformer.h.11.mlp.c_proj.weight,768x3072,2359296,11,mlp_down,mlp,1,hidden,hidden,0.65,0.15000000000000002
lm_head.weight,32768x768,25165824,,unembed,unembed,0,unembed,unembed,0.45,0.11923076923076922
smear_gate.weight,1x24,24,,other,other,0,rest,rest,0.25,0.08846153846153845
value_embeds.1.weight,32768x768,25165824,,value_embed,embedding,0,embedding,embedding,0.0,0.05
value_embeds.3.weight,32768x768,25165824,,value_embed,embedding,0,embedding,embedding,0.0,0.05
value_embeds.5.weight,32768x768,25165824,,value_embed,embedding,0,embedding,embedding,0.0,0.05
value_embeds.7.weight,32768x768,25165824,,value_embed,embedding,0,embedding,embedding,0.0,0.05
value_embeds.9.weight,32768x768,25165824,,value_embed,embedding,0,embedding,embedding,0.0,0.05
value_embeds.11.weight,32768x768,25165824,,value_embed,embedding,0,embedding,embedding,0.0,0.05
