recipe,method,alpha,step,eval_kind,bpb,bpb_se,nll,nll_se,n_eval_batches,eval_seconds,floor,trajectory_id,lr_multiplier,stream_seed,paired_delta_vs_raw,paired_se_vs_raw,paired_z_vs_raw,window,spacing,ema_beta,mean_alpha_by_numel
tsa:0.550,TSA alpha=0.55,0.55,1016,curve,1.1837649709667477,0.017255651257279528,3.8398133367300034,0.046555436314961174,32,0.9093057615682483,0.05,floor_05p00pct,0.4,4403,-0.037012937061882085,0.000709137295886657,-52.194317343870104,8,32,,
tsa:1.000,Uniform LAWA,1.0,1016,curve,1.1819926165046954,0.01725527950552935,3.833901956677437,0.04626320272413771,32,1.153821969870478,0.05,floor_05p00pct,0.4,4403,-0.038785291523934465,0.000920385878975234,-42.140250529613034,8,32,,
raw,Raw iterate,0.0,1272,curve,1.192927979917144,0.017278869235779107,3.8700499832630157,0.04729408183590174,32,1.2220216640271246,0.05,floor_05p00pct,0.3569333333333334,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,1272,curve,1.158543969111364,0.01721832541507457,3.7583482787013054,0.04759230810603412,32,1.0819655028171837,0.05,floor_05p00pct,0.3569333333333334,4403,-0.03438401080577991,0.0007871779095849643,-43.68010126695337,8,32,,
tsa:1.000,Uniform LAWA,1.0,1272,curve,1.156740208142406,0.017266887194691116,3.7523651868104935,0.047723922935243655,32,1.1814524731598794,0.05,floor_05p00pct,0.3569333333333334,4403,-0.036187771774737976,0.0010786552606608269,-33.5489688823915,8,32,,
raw,Raw iterate,0.0,1528,curve,1.169151957741962,0.01703445862859734,3.7932959273457527,0.047394480563398574,32,1.2114172279834747,0.05,floor_05p00pct,0.3070461538461539,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,1528,curve,1.1379516115133144,0.017079859798123823,3.692003071308136,0.04811288454246905,32,1.2617101548239589,0.05,floor_05p00pct,0.3070461538461539,4403,-0.031200346228647757,0.0006565282729879574,-47.523233213781275,8,32,,
tsa:1.000,Uniform LAWA,1.0,1528,curve,1.1360056585440703,0.017160238627082693,3.685529425740242,0.048397112243959844,32,1.2496862350963056,0.05,floor_05p00pct,0.3070461538461539,4403,-0.033146299197891554,0.0009036595740777669,-36.68007305928135,8,32,,
raw,Raw iterate,0.0,1784,curve,1.1458704739025527,0.017186985262188547,3.7174455523490906,0.04821821515409803,32,1.2386923348531127,0.05,floor_05p00pct,0.2571589743589744,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,1784,curve,1.119550934079793,0.017197910265156286,3.6319938376545906,0.048556129421733596,32,1.2503898651339114,0.05,floor_05p00pct,0.2571589743589744,4403,-0.026319539822759634,0.0005584860454448285,-47.12658451796479,8,32,,
tsa:1.000,Uniform LAWA,1.0,1784,curve,1.1186288648499645,0.017204686605980655,3.628982789814472,0.048614685298178736,32,1.2513353079557419,0.05,floor_05p00pct,0.2571589743589744,4403,-0.027241609052588277,0.0008551832622637029,-31.85470326030317,8,32,,
raw,Raw iterate,0.0,2040,curve,1.126293910750542,0.017109769829784918,3.654056280851364,0.04780844467922445,32,1.2404903890565038,0.05,floor_05p00pct,0.20727179487179487,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,2040,curve,1.1035446875255142,0.017191857140676718,3.5800053253769875,0.04837724306186116,32,1.2306038443930447,0.05,floor_05p00pct,0.20727179487179487,4403,-0.02274922322502792,0.0005886960477688289,-38.643410825073445,8,32,,
tsa:1.000,Uniform LAWA,1.0,2040,curve,1.1026664434901705,0.017238198849935694,3.5770729556679726,0.04858596745396989,32,1.2466517058201134,0.05,floor_05p00pct,0.20727179487179487,4403,-0.023627467260371682,0.000991834048729513,-23.821996523145398,8,32,,
raw,Raw iterate,0.0,2296,curve,1.107711660985343,0.01725520713483811,3.593675196170807,0.04917037715514361,32,0.8768344786949456,0.05,floor_05p00pct,0.1573846153846154,4403,,,,,,,
