optimizer,alpha_group,alpha_other,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,1.0,0.625,5,0.0011600202651018243,0.00034698452051111256,0.0008130357445907117,0.0015070047856129368,5
native,1.0,0.75,5,0.00102752926235965,0.0003538819380670127,0.0006736473242926373,0.0013814112004266626,5
native,1.0,0.875,5,0.000862662192973529,0.0003647989577368377,0.0004978632352366913,0.0012274611507103667,5
native,1.0,1.0,5,0.0006585544713832991,0.00037560729355006595,0.0002829471778332332,0.0010341617649333652,5
pure_adamw,0.0,0.0,5,0.0,0.0,0.0,0.0,0
pure_adamw,0.0,0.125,5,8.576270503062311e-05,2.4769000479080642e-05,6.099370455154247e-05,0.00011053170550970375,5
pure_adamw,0.0,0.25,5,0.000165038203753598,3.128927754838923e-05,0.00013374892620520877,0.00019632748130198724,5
pure_adamw,0.0,0.375,5,0.00018093979899900248,3.101883342487758e-05,0.0001499209655741249,0.00021195863242388008,5
pure_adamw,0.0,0.5,5,0.00019521792308756502,1.0816681592235619e-05,0.0001844012414953294,0.00020603460467980063,5
pure_adamw,0.0,0.625,5,0.00015426773308151452,2.0316543158090347e-05,0.00013395118992342417,0.00017458427623960487,5
pure_adamw,0.0,0.75,5,9.828054425629063e-05,2.4376997718167685e-05,7.390354653812295e-05,0.00012265754197445832,5
pure_adamw,0.0,0.875,5,-2.6409281022043984e-06,4.388014188436459e-05,-4.652106998656899e-05,4.123921378216019e-05,2
pure_adamw,0.0,1.0,5,-0.00013777703976423084,5.6168891815514145e-05,-0.00019394593157974499,-8.16081479487167e-05,0
pure_adamw,0.125,0.0,5,0.0003230800264286682,5.0408958790772344e-05,0.0002726710676378958,0.00037348898521944053,5
pure_adamw,0.125,0.125,5,0.00040561891584527386,4.726137213297406e-05,0.0003583575437122998,0.0004528802879782479,5
pure_adamw,0.125,0.25,5,0.00046883689398034,6.507507564172437e-05,0.0004037618183386156,0.0005339119696220644,5
pure_adamw,0.125,0.375,5,0.0004861437835554483,4.298447648138868e-05,0.00044315930707405964,0.000529128260036837,5
pure_adamw,0.125,0.5,5,0.00048325510474671595,5.413471912174785e-05,0.0004291203856249681,0.0005373898238684638,5
pure_adamw,0.125,0.625,5,0.0004435840439747984,6.575146345436839e-05,0.00037783258052043005,0.0005093355074291668,5
pure_adamw,0.125,0.75,5,0.00038140338233385587,6.729743340135544e-05,0.0003141059489325004,0.0004487008157352113,5
pure_adamw,0.125,0.875,5,0.00026568574476915074,7.344621430504774e-05,0.000192239530464103,0.0003391319590741985,5
pure_adamw,0.125,1.0,5,0.00012707510554434975,6.458692075749504e-05,6.248818478685471e-05,0.00019166202630184479,5
pure_adamw,0.25,0.0,5,0.0005862758375817289,8.872252003387929e-05,0.0004975533175478496,0.0006749983576156082,5
pure_adamw,0.25,0.125,5,0.0006567665637800424,8.873750362113523e-05,0.0005680290601589072,0.0007455040674011777,5
pure_adamw,0.25,0.25,5,0.0007035225208802398,9.10711046282529e-05,0.000612451416251987,0.0007945936255084927,5
pure_adamw,0.25,0.375,5,0.0007216447536412928,9.260938828259722e-05,0.0006290353653586956,0.0008142541419238901,5
pure_adamw,0.25,0.5,5,0.0007048681664532985,0.00010016874318942776,0.0006046994232638708,0.0008050369096427262,5
pure_adamw,0.25,0.625,5,0.0006583401433470027,0.00011115089225602047,0.0005471892510909822,0.0007694910356030231,5
pure_adamw,0.25,0.75,5,0.0005824757031555272,9.642147277713284e-05,0.0004860542303783944,0.0006788971759326601,5
pure_adamw,0.25,0.875,5,0.0004746418177913103,0.00011510663171062122,0.00035953518608068907,0.0005897484495019315,5
pure_adamw,0.25,1.0,5,0.00030738450309573115,0.00010520343960411447,0.0002021810634916167,0.0004125879426998456,5
pure_adamw,0.375,0.0,5,0.0007658369021130706,0.00011806499694048424,0.0006477719051725864,0.0008839018990535549,5
pure_adamw,0.375,0.125,5,0.0008390064588255086,0.00011681464817250311,0.0007221918106530055,0.0009558211069980117,5
pure_adamw,0.375,0.25,5,0.0008768258221842462,0.00012518785715164628,0.0007516379650325999,0.0010020136793358924,5
pure_adamw,0.375,0.375,5,0.000881319035817274,0.00011999536809629523,0.0007613236677209788,0.0010013144039135694,5
